Date_time,us,LReactor,C_g,C_Eff,C_CD,T_CD,C_D_g,C_D_Eff,C_PAR
01/11/2021 14:54:28,0,6.64692,0.0290968,1.17882,0.03761,0,0.374622,2.02898,59.37
01/11/2021 15:59:41,0,6.64692,-0.0669271,-0.994523,0.0392218,0,0.428189,1.81419,59.37
01/11/2021 17:04:54,0,6.64692,-0.0306881,0.097022,0.0417861,0,0.513413,1.78667,59.37
01/11/2021 18:10:07,0,6.64692,0.0258224,-0.625722,0.0445245,0,0.604422,1.78425,59.37
01/11/2021 19:15:20,0,6.64692,0.124819,3.81941,0.0478227,0,0.713932,1.82987,59.37
01/11/2021 20:20:33,0,6.64692,0.117217,0.339599,0.0507194,0,0.810306,1.8354,59.37
01/11/2021 21:25:46,0,6.64692,-0.0549179,-0.478369,0.0538845,0,0.915498,1.85742,59.37
01/11/2021 22:30:59,0,6.64692,0.138671,0.66897,0.0566066,0,1.00575,1.84807,59.37
01/11/2021 23:36:12,0,6.64692,-0.031404,-0.247668,0.0590908,0,1.08842,1.82738,59.37
02/11/2021 00:41:25,0,6.64692,0.0290561,-0.38446,0.0623829,0,1.19783,1.85131,59.37
02/11/2021 01:46:38,0,6.64692,0.117289,2.05438,0.066009,0,1.31845,1.88815,59.37
02/11/2021 02:51:51,0,6.64692,-0.0530829,0.0641445,0.0686233,0,1.40533,1.87443,59.37
02/11/2021 03:57:04,0,6.64692,0.120208,0.319888,0.0714087,0,1.49791,1.87012,59.37
02/11/2021 05:02:17,0,6.64692,0.0151982,1.18494,0.0751062,0,1.62046,1.90113,59.37
02/11/2021 06:07:30,0,6.64692,-0.296875,-4.01858,0.0767859,0,1.67651,1.85502,59.37
02/11/2021 07:12:43,0,6.64692,-0.151446,0,0.0790142,0,1.75067,1.8523,0
02/11/2021 08:17:56,0,6.64692,-0.0774547,0,0.0742032,0,1.59068,1.68301,0
02/11/2021 09:23:09,0,6.64692,-0.0290248,0,0.0699815,0,1.45047,1.53467,0
02/11/2021 10:28:22,0,6.64692,-0.0756955,0,0.0670119,0,1.35167,1.43014,0
02/11/2021 11:33:35,0,6.64692,0.341907,3.52824,0.0700113,0,0.162817,3.07846,118.74
02/11/2021 12:38:48,0,6.64692,0.223361,2.62694,0.0784151,0,0.439684,2.8266,118.74
02/11/2021 13:44:01,0,6.64692,0.32043,1.9709,0.0865521,0,0.71022,2.74909,118.74
02/11/2021 14:49:14,0,6.64692,0.339359,3.04063,0.094972,0,0.99005,2.74391,118.74
02/11/2021 15:54:27,0,6.64692,0.167368,2.60886,0.103696,0,1.28226,2.76577,118.74
02/11/2021 16:59:40,0,6.64692,0.316991,2.89947,0.111856,0,1.55119,2.73862,118.74
02/11/2021 18:04:53,0,6.64692,0.178509,1.27339,0.119684,0,1.81135,2.70722,118.74
02/11/2021 19:10:06,0,6.64692,0.00777437,1.2108,0.127883,0,2.08373,2.69955,118.74
02/11/2021 20:15:19,0,6.64692,0.123893,1.37349,0.135489,0,2.3365,2.67167,118.74
02/11/2021 21:20:32,0,6.64692,0.341193,4.0607,0.144146,0,2.62379,2.68461,118.74
02/11/2021 22:25:45,0,6.64692,0.205084,2.93377,0.152499,0,2.90193,2.68661,118.74
02/11/2021 23:30:58,0,6.64692,0.209503,2.24898,0.160999,0,3.18442,2.69225,118.74
03/11/2021 00:36:11,0,6.64692,0.262433,2.17578,0.168238,0,3.42502,2.66413,118.74
03/11/2021 01:41:24,0,6.64692,0.0352345,1.10471,0.176063,0,3.68476,2.6542,118.74
03/11/2021 02:46:37,0,6.64692,-0.0529789,-1.18581,0.183589,0,3.93465,2.6388,118.74
03/11/2021 03:51:50,0,6.64692,0.374306,2.68482,0.191773,0,4.20719,2.6396,118.74
03/11/2021 04:57:03,0,6.64692,-0.0683307,-0.0107364,0.199718,0,4.47125,2.63552,118.74
03/11/2021 06:02:16,0,6.64692,0.0755316,1.7198,0.207948,0,4.74475,2.63715,118.74
03/11/2021 07:07:29,0,6.64692,-0.0529982,0,0.214215,0,4.95305,2.62019,0
03/11/2021 08:12:42,0,6.64692,-0.0450082,0,0.209658,0,4.80134,2.53994,0
03/11/2021 09:17:55,0,6.64692,-0.371836,0,0.203662,0,4.60218,2.43458,0
03/11/2021 10:23:08,0,6.64692,-0.166644,0,0.198321,0,4.42467,2.34068,0
03/11/2021 11:28:21,0,6.64692,0.3535,0.34768,0.193336,0,-0.0476384,-0.731432,173.33
03/11/2021 12:33:34,0,6.64692,0.376415,2.9297,0.209111,0,0.476647,2.21704,173.33
03/11/2021 13:38:47,0,6.64692,0.427766,3.10561,0.221827,0,0.899273,2.46339,173.33
03/11/2021 14:44:00,0,6.64692,0.0877729,0.947863,0.23485,0,1.33196,2.59021,173.33
03/11/2021 15:49:13,0,6.64692,0.517858,2.89007,0.248989,0,1.80143,2.61917,232.7
03/11/2021 16:54:26,0,6.64692,-0.0062821,0.792683,0.265903,0,2.36345,2.65784,232.7
03/11/2021 17:59:39,0,6.64692,0.600254,3.23537,0.28251,0,2.91593,2.67399,232.7
03/11/2021 19:04:52,0,6.64692,0.541261,2.63365,0.299015,0,3.46457,2.68176,232.7
03/11/2021 20:10:05,0,6.64692,0.50692,2.76059,0.315421,0,4.01212,2.68665,232.7
03/11/2021 21:15:18,0,6.64692,0.491843,2.23598,0.331137,0,4.53214,2.67514,232.7
03/11/2021 22:20:31,0,6.64692,0.0985853,1.28378,0.346655,0,5.04733,2.66261,232.7
03/11/2021 23:25:44,0,6.64692,0.383511,1.75306,0.361785,0,5.55017,2.64693,232.7
04/11/2021 00:30:57,0,6.64692,0.576152,2.74989,0.377638,0,6.07756,2.6442,232.7
04/11/2021 01:36:10,0,6.64692,0.528868,3.05928,0.392607,0,6.57506,2.63029,232.7
04/11/2021 02:41:23,0,6.64692,0.190079,1.91929,0.407796,0,7.07985,2.62125,232.7
04/11/2021 03:46:36,0,6.64692,0.441803,2.39273,0.421969,0,7.5509,2.60165,232.7
04/11/2021 04:51:49,0,6.64692,0.370194,2.4754,0.43659,0,8.03672,2.5893,232.7
04/11/2021 05:57:02,0,6.64692,0.306581,1.42269,0.450574,0,8.50146,2.57219,232.7
04/11/2021 07:02:15,0,6.64692,0.447803,0,0.464715,0,8.97153,2.56355,0
04/11/2021 08:07:28,0,6.64692,-0.0327481,0,0.45909,0,8.7846,2.51014,0
04/11/2021 09:12:41,0,6.64692,-0.0856009,0,0.451783,0,8.54176,2.44075,0
04/11/2021 10:17:54,0,6.64692,-0.0308411,0,0.444085,0,8.2859,2.36764,0
04/11/2021 11:23:07,0,6.64692,-0.114069,-0.259768,0.435949,0,-0.0438509,-0.410419,349.05
04/11/2021 12:28:20,0,6.64692,0.624038,2.62039,0.456038,0,0.625009,1.53031,349.05
04/11/2021 13:33:33,0,6.64692,0.81687,2.68644,0.480055,0,1.42321,2.00387,349.05
04/11/2021 14:38:46,0,6.64692,0.799055,2.94259,0.503348,0,2.19734,2.17041,349.05
04/11/2021 15:43:59,0,6.64692,0.75807,2.75455,0.526486,0,2.96591,2.25685,349.05
04/11/2021 16:49:12,0,6.64692,0.776382,2.68567,0.549686,0,3.73735,2.31218,349.05
04/11/2021 17:54:25,0,6.64692,0.840433,2.86217,0.57243,0,4.49185,2.34127,349.05
04/11/2021 18:59:38,0,6.64692,0.588302,2.19652,0.594603,0,5.22932,2.35517,349.05
04/11/2021 20:04:51,0,6.64692,0.638069,2.13244,0.616807,0,5.96811,2.3659,349.05
04/11/2021 21:10:04,0,6.64692,0.8225,2.89663,0.639695,0,6.72878,2.38233,349.05
04/11/2021 22:15:17,0,6.64692,0.748686,2.67767,0.661901,0,7.46667,2.38942,349.05
04/11/2021 23:20:30,0,6.64692,0.677913,2.43975,0.684155,0,8.2064,2.39455,349.05
05/11/2021 00:25:43,0,6.64692,0.782043,2.55186,0.705871,0,8.92812,2.39441,349.05
05/11/2021 01:30:56,0,6.64692,0.368921,1.93866,0.727058,0,9.63204,2.38946,349.05
05/11/2021 02:36:09,0,6.64692,0.548993,1.75647,0.74863,0,10.3491,2.3884,349.05
05/11/2021 03:41:22,0,6.64692,0.700024,2.4545,0.769974,0,11.0608,2.38637,349.05
05/11/2021 04:46:35,0,6.64692,0.70275,2.55937,0.791309,0,11.7676,2.38348,349.05
05/11/2021 05:51:48,0,6.64692,0.646281,2.41299,0.812109,0,12.4589,2.37836,349.05
05/11/2021 06:57:01,0,6.64692,0.661634,2.39019,0.832983,0,13.1525,2.37351,349.05
05/11/2021 08:02:14,0,6.64692,-0.115965,0,0.828663,0,13.0089,2.34184,0
05/11/2021 09:07:27,0,6.64692,-0.598553,0,0.819256,0,12.6962,2.28556,0
05/11/2021 10:12:40,0,6.64692,-0.187319,0,0.809684,0,12.378,2.22828,0
05/11/2021 11:17:53,0,6.64692,-0.0754229,-0.318138,0.799388,0,-0.124645,-1.11554,472.57
05/11/2021 12:23:06,0,6.64692,1.3896,4.14393,0.819719,0,0.550542,1.05701,472.57
05/11/2021 13:28:19,0,6.64692,1.01913,2.57355,0.851347,0,1.60219,1.72379,472.57
05/11/2021 14:33:32,0,6.64692,0.744005,2.46653,0.88159,0,2.60502,1.94613,472.57
05/11/2021 15:38:45,0,6.64692,-0.147324,-0.082227,1.06024,0,8.54474,4.91512,472.57
05/11/2021 16:43:58,0,0.161861,-0.634445,-1.94052,-0.0206882,0,6.64096,3.18085,472.57
05/11/2021 17:49:11,0,0,0.981017,2.67818,0,0,6.96329,2.79782,472.57
05/11/2021 18:54:24,0,0,0.995316,2.66614,0,0,7.9445,2.74198,472.57
05/11/2021 19:59:37,0,0,1.04307,2.72651,0,0,8.94108,2.70395,472.57
05/11/2021 21:04:50,0,0,1.008,2.6817,0,0,9.93394,2.67357,472.57
05/11/2021 22:10:03,0,0,0.967318,2.59725,0,0,10.9212,2.64808,472.57
05/11/2021 23:15:16,0,0,0.924534,2.49392,0,0,11.8946,2.62381,472.57
06/11/2021 00:20:29,0,0,0.937212,2.49534,0,0,12.8603,2.60228,472.57
06/11/2021 01:25:42,0,0,0.900785,2.41222,0,0,13.8269,2.58397,472.57
06/11/2021 02:30:55,0,0,0.910203,2.41626,0,0,14.7693,2.56426,472.57
06/11/2021 03:36:08,0,0,0.909226,2.42996,0,0,15.7086,2.54629,472.57
06/11/2021 04:41:21,0,0,0.894649,2.38314,0,0,16.6348,2.52909,472.57
06/11/2021 05:46:34,0,0,0.881343,2.35564,0,0,17.5635,2.51391,472.57
06/11/2021 06:51:47,0,0,0.762721,2.3363,0,0,18.4742,2.49776,472.57
06/11/2021 07:57:00,0,0,-0.00412599,0,0,0,18.4407,2.4761,0
06/11/2021 09:02:13,0,0,-0.0272118,0,0,0,18.1483,2.43682,0
06/11/2021 10:07:26,0,0,-0.0107787,0,0,0,17.8074,2.39105,0
06/11/2021 11:12:39,0,0,-0.00441153,-0.018834,0,0,-0.0622689,-0.79005,472.57
06/11/2021 12:17:52,0,0,1.79911,3.30069,0,0,-0.0262628,-0.0538273,472.57
06/11/2021 13:23:05,0,0,0.933772,2.48275,0,0,1.26125,1.40599,472.57
06/11/2021 14:28:18,0,0,0.919996,2.4699,0,0,2.25249,1.72519,472.57
06/11/2021 15:33:31,0,0,0.257839,1.28503,0,0,3.08433,1.7987,472.57
06/11/2021 16:38:44,0,0,0.599676,1.54094,0,0,3.71738,1.7507,472.57
06/11/2021 17:43:57,0,0,0.505456,1.39645,0,0,4.30941,1.70164,472.57
06/11/2021 18:49:10,0,0,0.523389,1.40558,0,0,4.90714,1.66818,472.57
06/11/2021 19:54:23,0,0,0.522479,1.411,0,0,5.52248,1.64834,472.57
06/11/2021 20:59:36,0,0,0.438296,1.43333,0,0,6.15829,1.63813,472.57
06/11/2021 22:04:49,0,0,0.451561,1.32061,0,0,6.78705,1.6284,472.57
06/11/2021 23:10:02,0,0,0.63661,1.56558,0,0,7.41991,1.62112,472.57
07/11/2021 00:15:15,0,0,0.590208,1.63091,0,0,8.06306,1.61709,472.57
07/11/2021 01:20:28,0,0,0.535759,1.46042,0,0,8.68998,1.61082,472.57
07/11/2021 02:25:41,0,0,0.592295,1.49031,0,0,9.31161,1.60429,472.57
07/11/2021 03:30:54,0,0,0.551955,1.3882,0,0,9.93026,1.59844,472.57
07/11/2021 04:36:07,0,0,0.578626,1.46248,0,0,10.5281,1.58987,472.57
07/11/2021 05:41:20,0,0,0.544405,1.65192,0,0,11.1216,1.58186,472.57
07/11/2021 06:46:33,0,0,0.324972,1.21404,0,0,11.7076,1.57367,472.57
07/11/2021 07:51:46,0,0,-0.00107296,0,0,0,11.8034,1.56876,0
07/11/2021 08:56:59,0,0,-0.000767896,0,0,0,11.6824,1.55267,0
07/11/2021 10:02:12,0,0,-0.00380544,0,0,0,11.5206,1.53118,0
07/11/2021 11:07:25,0,0,-0.00592897,-0.0135848,0,0,-0.0330544,-0.712072,472.57
07/11/2021 12:12:38,0,0,-0.000604001,-0.0029135,0,0,-0.127204,-0.279551,472.57
07/11/2021 13:17:51,0,0,0.935364,2.42372,0,0,0.865656,1.00175,472.57
07/11/2021 14:23:04,0,0,0.889289,2.32628,0,0,1.77924,1.39795,472.57
07/11/2021 15:28:17,0,0,0.921192,2.41704,0,0,2.73432,1.62575,472.57
07/11/2021 16:33:30,0,0,0.858019,2.35303,0,0,3.68517,1.76239,472.57
07/11/2021 17:38:43,0,0,0.880542,2.33062,0,0,4.65447,1.86208,472.57
07/11/2021 18:43:56,0,0,0.865184,2.31893,0,0,5.6253,1.93393,472.57
07/11/2021 19:49:09,0,0,0.993762,2.36355,0,0,6.616,1.99422,472.57
07/11/2021 20:54:22,0,0,0.98105,2.5787,0,0,7.60594,2.04107,472.57
07/11/2021 21:59:35,0,0,0.929307,2.51338,0,0,8.57933,2.07453,472.57
07/11/2021 23:04:48,0,0,0.849103,2.35681,0,0,9.53776,2.09891,472.57
08/11/2021 00:10:01,0,0,0.836614,2.24489,0,0,10.4765,2.11507,472.57
08/11/2021 01:15:14,0,0,0.771321,2.10614,0,0,11.3962,2.12563,472.57
08/11/2021 02:20:27,0,0,0.912254,2.18786,0,0,12.3184,2.13453,472.57
08/11/2021 03:25:40,0,0,0.862926,2.2938,0,0,13.2304,2.1406,472.57
08/11/2021 04:30:53,0,0,0.835535,2.27864,0,0,14.1238,2.14362,472.57
08/11/2021 05:36:06,0,0,0.848816,2.19426,0,0,15.0114,2.14515,472.57
08/11/2021 06:41:19,0,0,0.762335,2.00762,0,0,15.8691,2.14275,472.57
08/11/2021 07:46:32,0,0,-0.00637594,0,0,0,16.1095,2.14105,0
08/11/2021 08:51:45,0,0,-0.00423983,0,0,0,15.9959,2.12595,0
08/11/2021 09:56:58,0,0,-0.0134692,0,0,0,15.8533,2.107,0
08/11/2021 11:02:11,0,0,-0.0619899,-0.0256997,0,0,-0.00993924,0,472.57
08/11/2021 12:07:24,0,0,-0.00112405,-0.00768833,0,0,-0.113162,-0.2681,472.57
08/11/2021 13:12:37,0,0,0.944102,2.76803,0,0,0.575138,0.691919,472.57
08/11/2021 14:17:50,0,0,0.683566,1.89227,0,0,1.3825,1.1146,472.57
08/11/2021 15:23:03,0,6.34042,0.856625,2.38738,0.0191106,0,1.96919,1.19932,472.57
08/11/2021 16:28:16,0,6.14536,0.683366,1.81705,0.0443289,0,2.75831,1.34483,472.57
08/11/2021 17:33:29,0,6.14536,0.709448,1.92796,0.0708469,0,3.57301,1.45266,472.57
08/11/2021 18:38:42,0,6.14536,0.846127,2.04342,0.098518,0,4.42337,1.5419,472.57
08/11/2021 19:43:55,0,6.14536,0.828493,2.16683,0.126698,0,5.28924,1.61362,472.57
08/11/2021 20:49:08,0,6.14536,0.864838,2.20996,0.155311,0,6.16843,1.6736,472.57
08/11/2021 21:54:21,0,6.14536,0.756196,2.06338,0.183467,0,7.03358,1.71767,472.57
08/11/2021 22:59:34,0,6.14536,0.731782,1.90159,0.210812,0,7.87412,1.74835,472.57
09/11/2021 00:04:47,0,6.14536,0.664247,1.80267,0.23846,0,8.72333,1.77572,472.57
09/11/2021 01:10:00,0,6.14536,0.757134,1.78396,0.265649,0,9.55878,1.79636,472.57
09/11/2021 02:15:13,0,6.14536,0.802117,2.09048,0.292812,0,10.3934,1.81384,472.57
09/11/2021 03:20:26,0,4.91671,0.70613,1.94479,0.319135,0,11.1573,1.81739,472.57
09/11/2021 04:25:39,0,6.08069,0.79201,2.21669,0.263979,0,11.698,1.7865,472.57
09/11/2021 05:30:52,0,6.08069,0.69333,2.15246,0.295222,0,12.6482,1.81802,472.57
09/11/2021 06:36:05,0,6.08069,0.828787,2.12319,0.325037,0,13.5547,1.84023,472.57
