Date_Time,LReactor,C_g,C_Eff,C_CD,T_CD,C_D_g,C_D_Eff,C_PAR
14/12/2021 22:27:24,2.94058,-7.08113e-05,0.0,-0.0230488,0,-5.29628,0,0.0
14/12/2021 23:00:00,2.94058,-0.000182864,0.0,-0.023308,0,-5.32295,0,0.0
14/12/2021 23:32:36,2.94058,0.000126748,0.0,-0.0227475,0,-5.26527,0,0.0
15/12/2021 00:05:12,2.94058,0.000152512,0.0,-0.0213613,0,-5.1226,0,0.0
15/12/2021 00:37:48,2.94058,-5.15173e-05,0.0,-0.0216287,0,-5.15012,0,0.0
15/12/2021 01:10:24,2.94058,-8.22612e-05,0.0,-0.0218914,0,-5.17716,0,0.0
15/12/2021 01:43:00,2.94058,-7.56696e-05,0.0,-0.0221516,0,-5.20393,0,0.0
15/12/2021 02:15:36,2.94058,-1.94137e-05,0.0,-0.0224062,0,-5.23014,0,0.0
15/12/2021 02:48:12,2.94058,0.667272,0.0,-0.0218643,0,-5.17437,0,0.0
15/12/2021 03:20:48,2.94058,0.268325,0.0,-0.0212541,0,-5.11157,0,0.0
15/12/2021 03:53:24,2.94058,-0.00012784,0.0,-0.020675,0,-5.05196,0,0.0
15/12/2021 04:26:00,2.94058,-5.93283e-05,0.0,-0.0209386,0,-5.07909,0,0.0
15/12/2021 04:58:36,2.94058,-2.27968e-06,0.0,-0.0203674,0,-5.02031,0,0.0
15/12/2021 05:31:12,2.94058,0.0100501,0.0,-0.0197849,0,-4.96036,0,0.0
15/12/2021 06:03:48,2.94058,-6.05122e-05,0.0,-0.0200476,0,-4.98739,0,0.0
15/12/2021 06:36:24,2.94058,0.47606,0.0,-0.0194734,0,-4.9283,0,0.0
15/12/2021 07:09:00,2.94058,-3.0704e-05,0.0,-0.0197339,0,-4.95511,0,0.0
15/12/2021 07:41:36,2.94058,-1.33369e-05,0.0,-0.0192018,0,-4.90035,0,0.0
15/12/2021 08:14:12,2.94058,-1.9481e-05,0.0,-0.0194239,0,-4.92321,0,0.0
15/12/2021 08:46:48,2.94058,-2.36145e-05,0.0,-0.0188891,0,-4.86816,0,0.0
15/12/2021 09:19:24,2.94058,0.000103011,0.0,-0.0183123,0,-4.8088,0,0.0
15/12/2021 09:52:00,2.94058,-3.92577e-05,0.0,-0.0185757,0,-4.8359,0,0.0
15/12/2021 10:24:36,2.94058,8.99663e-05,0.0,-0.0179769,0,-4.77428,0,0.0
15/12/2021 10:57:12,2.94058,0.339081,0.0,-0.0163502,0,-4.60686,0,0.0
15/12/2021 11:29:48,2.94058,-0.0141622,0.0,-0.0181737,0,-0.187669,0,0.0
15/12/2021 12:02:24,2.94058,0.0833206,0.0,-0.017384,0,-0.10639,0,0.0
15/12/2021 12:35:00,2.94058,0.00737658,0.0,-0.0170271,0,-0.0696616,0,0.0
15/12/2021 13:07:36,2.94058,0.00198995,0.0,-0.0165001,0,-0.0154202,0,0.0
15/12/2021 13:40:12,2.94058,0.000153332,0.0,-0.0161986,0,0.0156039,0,0.0
15/12/2021 14:12:48,2.94058,0.00842082,0.0,-0.0166159,0,-0.0273427,0,0.0
15/12/2021 14:45:24,2.94058,-5.54925e-05,0.0,-0.0161678,0,0.0187803,0,0.0
15/12/2021 15:18:00,2.94058,-0.267113,0.0,-0.0159385,0,0.0423752,0,0.0
15/12/2021 15:50:36,2.94058,-0.055862,-0.607265,-0.0150645,0,0.112958,0,38.4
15/12/2021 16:23:12,2.94058,-0.0921379,-1.63018,-0.0139698,0,0.129053,4.89223,38.4
